"BRAND_KEY","DEPARTMENT","CATEGORY","CLASS","STYLE","COLOR","CHANNEL","REGION_NAME"
"industry-of-all-nations","Apparel","Accessories","Belts","Faja Belt","Brown","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Belts","Faja Belt","Denim","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Footwear","Canadienses","Tan","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Footwear","Men's Porteños Loafer","Quebracho","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Gloves","Alpaca Gloves","Black","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Gloves","Alpaca Gloves","Tabaquin","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Alpaca Beanie","Cacao","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Alpaca Beanie","Heather Brown","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Alpaca Beanie","Tabaquin","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Alpaca Hat","Beige","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Alpaca Hat","Black","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Alpaca Hat","Fade","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Alpaca Hat","Tabaquin","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Alpaca Hat","Tan","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Future Hat","Brown","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Knitted Hat","Blue Checker","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Knitted Hat","Denim","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Tembel Hat","Brown","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Tembel Hat","Denim","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Hats","Tembel Hat","Light Denim","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Scarves","Alpaca Woven Scarf","Black","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Scarves","Alpaca Woven Scarf","Grey","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Scarves","Alpaca Woven Scarf","Tabaquin","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Socks","Alpaca Cabin Sock","Black","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Socks","Alpaca Cabin Sock","Heather Brown","ecommerce","global"
"industry-of-all-nations","Apparel","Accessories","Socks","Alpaca Cabin Sock","Heather Grey","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Jeans","New Jeans","Charcoal","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Jeans","New Jeans","Coco","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Jeans","New Jeans","Denim","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Jeans","New Jeans","Light Denim","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Jeans","New Jeans","Navy","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Chinote Corduroy Pants","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Chinote Corduroy Pants","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Chinote Pants","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Ponya Corduroy Pants","Acacia","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Ponya Corduroy Pants","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Ponya Corduroy Pants","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Ponya Corduroy Pants","Iron 8","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Ponya Drawstring Pants","Acacia","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Ponya Drawstring Pants","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Safari Pants","Coco","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Safari Pants","Denim","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Safari Pants","Light Denim","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Super Sweatpants","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Super Sweatpants","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Pants","Super Sweatpants","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Clean Boardshorts - Batik Flamingos","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Clean Boardshorts - Batik Flamingos","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Contrast Boardshorts","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Contrast Boardshorts","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Cord Shorts | Archive","Indian Forest","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Corduroy Shorts","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Corduroy Shorts","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Corduroy Shorts","Iron 4","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Corduroy Shorts","Iron 8","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Corduroy Shorts","Shellac 2","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Corduroy Shorts","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Drawstring Shorts","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Drawstring Shorts","Indigo 2","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Drawstring Shorts","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Drawstring Shorts","Iron 8","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Ponya Drawstring Shorts","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Super Sweatshorts","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Bottoms","Shorts","Super Sweatshorts","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Blazer","Clean Blazer","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Blazer","Clean Blazer","Iron 8","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Coats","Andes Coat","Heather Grey","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Alpaca Shirt Jacket","Brown","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Kamaleon Corduroy Jacket","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Kamaleon Jacket","Acacia","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Kamaleon Jacket","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Kamaleon Jacket","Indigo 6/12","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Kamaleon Sport Jacket","Indigo","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","New Work Jacket","Charcoal","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","New Work Jacket","Light Denim","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Nube Corduroy Jacket","Acacia","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Nube Corduroy Jacket","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Nube Corduroy Jacket","Iron 8","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Ponchito Jacket","Light Brown","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Ponchito Jacket","White","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Ponya Jacket","Acacia","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Ponya Jacket","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Ponya Jacket","Iron 4","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Ponya Jacket","Iron 8","ecommerce","global"
"industry-of-all-nations","Apparel","Outerwear","Jacket","Ponya Jacket - Batik","Indigo 12 Flamingo","ecommerce","global"
"industry-of-all-nations","Apparel","Sleepwear & Loungewear","Pajamas","Pajama Pants","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Cardigan","Alpaca Hand-Knit Cardigan","White","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweater","Alpaca Crewneck Sweater","Black","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweater","Alpaca Crewneck Sweater","Cacao","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweater","Alpaca Crewneck Sweater","Heather Charcoal","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweater","Alpaca Crewneck Sweater","Tabaquin","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Kung Fu Sweatshirt","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Kung Fu Sweatshirt","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Kung Fu Sweatshirt - LS","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Kung Fu Sweatshirt - LS","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Kung Fu Sweatshirt - LS","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Pocket Sweatshirt","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Wild Hoodie","Honey","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Wild Kung Fu Sweatshirt","Honey","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Zip Hoodie","Indigo 2","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Zip Hoodie","Shellac 2","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","Sweatshirts","Zip Hoodie","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Crewneck Long Sleeve T-shirt","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Crewneck Long Sleeve T-shirt","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Crewneck T-shirt","Indigo 2","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Crewneck T-shirt","Iron Stripe","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Cropped T-shirt","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Cropped T-shirt","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Cropped T-shirt","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Pocket T-shirt","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Pocket T-shirt","Iron 4","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Clean Pocket T-shirt","Lima","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Netty Tank","Indigo 2","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Netty Tank","Shellac 2","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","New T-shirt","Charcoal","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Pique Crewneck T-shirt","Indigo 12","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Pique Crewneck T-shirt","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Pique Tank","Indigo 2","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Pique Tank","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Pique Tank","Shellac 2","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Rib Tank","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Sport Crewneck T-shirt","Indian Forest","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Sport Crewneck T-shirt","Indigo 6","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Sport Pique Crew - LS","Rubia","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Sport Pique Tank","Rubia","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Standard T-shirt","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Super Henley","Iron 8","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Super Henley","Undyed","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Wild Henley","Brown","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Wild Henley","Caramel","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Wild Sport T-shirt","Ecru","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Wild Sport T-shirt","Honey Stripe","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Wild T-shirt","Brown","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Wild T-shirt","Caramel","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Wild T-shirt","Ecru Stripe","ecommerce","global"
"industry-of-all-nations","Apparel","Tops","T-shirts","Wild T-shirt","Honey","ecommerce","global"
"industry-of-all-nations","Apparel","Underwear","Boxers","Jersey Boxers","Indigo 2","ecommerce","global"
"industry-of-all-nations","Apparel","Underwear","Boxers","Jersey Boxers 3 Pack","Combo 2","ecommerce","global"
"industry-of-all-nations","Apparel","Underwear","Boxers","Jersey Boxers 3 Pack","Combo 4","ecommerce","global"
"industry-of-all-nations","Apparel","Underwear","Boxers","Jersey Boxers 3 Pack","Undyed","ecommerce","global"
