"BRAND_KEY","DEPARTMENT","CATEGORY","CLASS","STYLE","COLOR","CHANNEL","REGION_NAME"
"twillory-test","Men's","Accessories","Belt","Grip6 x Twillory Belt","Blue Jay","ecommerce","global"
"twillory-test","Men's","Accessories","Belt","Grip6 x Twillory Belt","Jet","ecommerce","global"
"twillory-test","Men's","Bottoms","Jeans","Performance Denim","ACID WASH BLACK","ecommerce","global"
"twillory-test","Men's","Bottoms","Jeans","Performance Denim","DARK WASH INDIGO","ecommerce","global"
"twillory-test","Men's","Bottoms","Jeans","Performance Denim","LIGHT WASH BLUE","ecommerce","global"
"twillory-test","Men's","Bottoms","Jeans","Performance Denim","MIDNIGHT INDIGO","ecommerce","global"
"twillory-test","Men's","Bottoms","Jeans","Performance Denim","PURE BLACK","ecommerce","global"
"twillory-test","Men's","Bottoms","Jeans","Performance Denim","TRUE BLUE","ecommerce","global"
"twillory-test","Men's","Bottoms","Jogger","Athlounger Jogger","BLACK","ecommerce","global"
"twillory-test","Men's","Bottoms","Jogger","Athlounger Jogger","CHARCOAL","ecommerce","global"
"twillory-test","Men's","Bottoms","Jogger","Athlounger Jogger","STEELBLUE","ecommerce","global"
"twillory-test","Men's","Bottoms","Jogger","Performance Chino Jogger","BLACK","ecommerce","global"
"twillory-test","Men's","Bottoms","Jogger","Performance Chino Jogger","CHARCOAL","ecommerce","global"
"twillory-test","Men's","Bottoms","Jogger","Performance Chino Jogger","NAVY","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Blue Prince of Wales","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Brown","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Burgundy","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Charcoal","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Heather Charcoal","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Heather Grey","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Heather Light Grey","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Heather Navy","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Navy","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","AIR Pants","Olive","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Five Pocket","BLACK","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Five Pocket","BLUE","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Five Pocket","CHARCOAL","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Five Pocket","KHAKI","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Five Pocket","NAVY","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Five Pocket","SLATE GREY","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Linen Pants","Blue","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Linen Pants","Bone","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","BLUE PRINCE OF WALES","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","Charcoal","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","Cobalt Blue","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","Heather Light Grey","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","Khaki","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","NAVY BLUE","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","NAVY CHECK","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","Navy Houndstooth","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","Olive","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","SAGE","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","SLATE GREY","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","STONE","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Performance Pants","True Black","ecommerce","global"
"twillory-test","Men's","Bottoms","Pants","Suit Pants","BLACK","ecommerce","global"
"twillory-test","Men's","Bottoms","Shorts","3-in-1 Athletic Shorts","BLACK","ecommerce","global"
"twillory-test","Men's","Bottoms","Shorts","3-in-1 Athletic Shorts","SLATEGREY","ecommerce","global"
"twillory-test","Men's","Bottoms","Shorts","AIR Shorts","Heather Charcoal","ecommerce","global"
"twillory-test","Men's","Bottoms","Shorts","AIR Shorts","KHAKI","ecommerce","global"
"twillory-test","Men's","Bottoms","Shorts","AIR Shorts","NAVY","ecommerce","global"
"twillory-test","Men's","Bottoms","Shorts","Performance Shorts","KHAKI","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Black","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Blue Prince of Wales","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Brown","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Burgundy","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Charcoal","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Heather Charcoal","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Heather Light Grey","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Navy","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Navy Blue Plaid","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Blazer","Olive","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","AIR Tuxedo Blazer","Black","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","BLUE ORANGE CONTRAST","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Black","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Blue Navy Check","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Blue Plaid","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Blue Prince of Wales","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Charcoal","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Cobalt Blue","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","GREY PLAID","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Grey Houndstooth","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Grey Plaid","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","NAVY BLUE CONTRAST","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Navy","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Navy Blue","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Navy Blue Plaid","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Navy Check","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","Navy Houndstooth","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","OLIVE","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer","TRUE BLACK","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Blazer (V1)","NAVYPLUMCONTRAST","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Linen Blazer","Blue","ecommerce","global"
"twillory-test","Men's","Outerwear","Blazer","Performance Linen Blazer","Bone","ecommerce","global"
"twillory-test","Men's","Outerwear","Jacket","AIR Bomber","Heather Grey","ecommerce","global"
"twillory-test","Men's","Outerwear","Jacket","Performance Coat","BLACK","ecommerce","global"
"twillory-test","Men's","Outerwear","Jacket","Performance Coat","NAVY","ecommerce","global"
"twillory-test","Men's","Stays","Stays","Collar Stays","3 Pairs","ecommerce","global"
"twillory-test","Men's","Tops","Henley","Performance Henley","BLACK","ecommerce","global"
"twillory-test","Men's","Tops","Henley","Performance Henley","BLUE","ecommerce","global"
"twillory-test","Men's","Tops","Henley","Performance Henley","CHARCOAL","ecommerce","global"
"twillory-test","Men's","Tops","Henley","Performance Henley","IVORY","ecommerce","global"
"twillory-test","Men's","Tops","Henley","Performance Henley","NAVY","ecommerce","global"
"twillory-test","Men's","Tops","Polos","AIR 3 Button Polo Solid","Black","ecommerce","global"
"twillory-test","Men's","Tops","Polos","AIR 3 Button Polo Solid","Lilac","ecommerce","global"
"twillory-test","Men's","Tops","Polos","AIR 3 Button Polo Solid","Navy","ecommerce","global"
"twillory-test","Men's","Tops","Polos","AIR 3 Button Polo Solid","Powder Blue","ecommerce","global"
"twillory-test","Men's","Tops","Polos","AIR Zip Polo","Olive","ecommerce","global"
"twillory-test","Men's","Tops","Polos","AIR Zip Polo","Orange","ecommerce","global"
"twillory-test","Men's","Tops","Polos","AIR Zip Polo","Sky Blue","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Button Down Polo","BLACKGREYCONTRAST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Button Down Polo","FOREST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Button Down Polo","GREYBLACKCONTRAST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Button Down Polo","NAVYREDCONTRAST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Button Down Polo","TWILIGHT","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","BLUEDIAMOND","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","BLUEPINKCONTRAST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","BLUEPINKSTRIPE","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","BLUEWHITESTRIPE","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","CHARCOALPINDOT","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","GREYBLACKCONTRAST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","NAVYREDCONTRAST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","NAVYWHITECONTRAST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","NAVYWHITESTRIPE","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","Navy","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","Pink","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","SUNSETSTRIPE","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","TEALBLUESTRIPE","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","WHITECONTRAST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","WHITENAVYCONTRAST","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Polo","Yellow","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Short Sleeve Button Down Polo","BLUE","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Short Sleeve Button Down Polo","CHARCOAL","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Short Sleeve Button Down Polo","CHARCOALPINDOT","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Short Sleeve Button Down Polo","MELANGEGREY","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Short Sleeve Button Down Polo","NAVY","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Short Sleeve Button Down Polo","TWILIGHT","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Slim Fit Pique Polo","BLACK","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Slim Fit Pique Polo","NAVY","ecommerce","global"
"twillory-test","Men's","Tops","Polos","Performance Slim Fit Pique Polo","WHITE","ecommerce","global"
